iter	Accuracy	MultiClass
0	0.7614678899	0.6728270994
1	0.7889908257	0.6554667723
2	0.7981651376	0.6382174617
3	0.7935779817	0.6259414195
4	0.8073394495	0.6118459912
5	0.7981651376	0.5980178276
6	0.7889908257	0.5866659242
7	0.8119266055	0.5759825842
8	0.8211009174	0.5640098148
9	0.8119266055	0.5574069282
10	0.8211009174	0.5444247097
11	0.8027522936	0.5419611439
12	0.8027522936	0.5364879298
13	0.8165137615	0.5245910553
14	0.8027522936	0.5139415268
15	0.8119266055	0.5071026584
16	0.8165137615	0.5011708605
17	0.8165137615	0.4927966923
18	0.8348623853	0.4851144066
19	0.8302752294	0.4771134826
20	0.8440366972	0.4687412427
21	0.8669724771	0.4634963219
22	0.876146789	0.459098577
23	0.8623853211	0.4520449188
24	0.8623853211	0.4445964541
25	0.8669724771	0.4394074612
26	0.871559633	0.434319218
27	0.876146789	0.4324627305
28	0.880733945	0.4260875815
29	0.8944954128	0.4216934674
30	0.8899082569	0.4175606999
31	0.8899082569	0.4120686085
32	0.8853211009	0.4080367546
33	0.8853211009	0.4035361848
34	0.8990825688	0.3974048005
35	0.8899082569	0.3920343079
36	0.8944954128	0.3887022354
37	0.9082568807	0.3846139879
38	0.9036697248	0.3814260301
39	0.9174311927	0.3785390318
40	0.9174311927	0.3754823595
41	0.9174311927	0.3707451702
42	0.9082568807	0.3682327822
43	0.9082568807	0.3653042029
44	0.9082568807	0.3653040554
45	0.9174311927	0.3597311005
46	0.9220183486	0.3567516822
47	0.9220183486	0.3538185199
48	0.9128440367	0.3513585466
49	0.9266055046	0.3449850151
50	0.9174311927	0.3407472015
51	0.9128440367	0.3378206084
52	0.9220183486	0.3331670209
53	0.9266055046	0.3305922327
54	0.9220183486	0.3288791929
55	0.9266055046	0.3265829151
56	0.9357798165	0.3244289624
57	0.9357798165	0.3216633211
58	0.9403669725	0.3172694346
59	0.9449541284	0.3136096895
60	0.9449541284	0.311017732
61	0.9449541284	0.3107308372
62	0.9449541284	0.308803507
63	0.9449541284	0.3053419641
64	0.9357798165	0.3022476559
65	0.9357798165	0.2976414141
66	0.9357798165	0.2960918432
